price,possibleNewPrice,priceIncreaseProbability
4.76,162.81,0.77832
69.01,142.53,0.394194
21.71,156.83,0.990654
29.31,176.01,0.454465
42.44,74.35,0.692721
53.17,132.19,0.480506
22.2,127.49,0.80001
68.83,61.16,0.622741
18.45,4.41,0.634957
31.3,31.96,0.453153
37.98,14.13,0.910578
33.29,114.65,0.290689
15.64,166.8,0.144444
52.29,46.57,0.284773
2.19,153.31,0.435553
4.72,189.64,0.833841
55.77,95.63,0.83071
10.67,53.54,0.896843
69.76,118.43,0.366608
37.03,2.01,0.652331
73.19,30.66,0.198482
87.22,61.14,0.476274
79.57,100.68,0.087156
37.92,30.95,0.847051
62.83,116.03,0.406761
0.86,168.52,0.092009
11.25,5.12,0.920352
66.65,3.26,0.709276
63.5,188.22,0.93707
89.9,84.48,0.722808
4.66,53.52,0.371097
16.09,107.45,0.346372
91.19,115.13,0.350164
62.69,158.68,0.378665
56.21,5.89,0.722308
24.1,40.96,0.759345
0.72,153.35,0.358343
13.71,144.47,0.663381
11.46,52.19,0.990406
20.45,18.46,0.274919
26.48,13.81,0.332125
92.51,147.69,0.884578
38.82,183.53,0.933502
60.66,163.29,0.415474
35.66,69.06,0.095351
37.18,18.45,0.669979
93.14,28.85,0.837929
28.21,66.92,0.064616
18.22,195.86,0.441944
44.29,15.64,0.99509
61.91,138.87,0.184793
0.47,132.66,0.154287
39.41,127.16,0.230354
40.58,114.06,0.567426
29.59,113.04,0.017919
72.45,19.96,0.061262
90.26,85.98,0.178344
50.07,34.27,0.646245
98.39,198.39,0.898045
15.18,74.71,0.456525
91.65,91.03,0.591118
12.89,153.12,0.604271
65.23,40.99,0.735354
13.07,68.63,0.50044
36.11,60.17,0.209902
9.0,100.14,0.859181
76.18,141.07,0.543402
75.89,77.27,0.019801
90.28,92.63,0.165914
71.49,60.92,0.217682
60.0,52.22,0.252222
57.52,101.24,0.639738
28.35,84.59,0.666304
39.59,193.03,0.183769
82.33,73.14,0.15688
33.53,79.4,0.774155
24.27,124.87,0.523953
2.0,113.21,0.38532
61.71,107.0,0.359967
94.92,55.39,0.902749
96.63,129.15,0.972145
15.23,137.13,0.969458
46.81,109.23,0.692486
3.98,40.13,0.680866
76.52,100.32,0.377979
50.76,43.22,0.60715
72.74,108.43,0.067342
32.36,163.5,0.14032
53.31,51.76,0.48498
27.96,192.1,0.631304
91.57,168.66,0.033093
58.86,26.91,0.545004
