price,possibleNewPrice,priceIncreaseProbability
83.29,75.94,0.929325
90.03,117.43,0.590299
66.7,17.54,0.826076
8.96,73.68,0.317626
53.05,11.56,0.791784
1.56,39.74,0.389291
3.42,108.21,0.623982
24.1,136.93,0.504925
61.75,59.49,0.482581
4.58,152.42,0.374688
77.32,75.9,0.692402
41.24,168.01,0.903977
81.32,93.29,0.125722
4.09,147.1,0.736009
29.2,145.12,0.217153
67.16,107.8,0.969004
40.53,78.17,0.611871
84.78,180.37,0.013078
6.4,164.92,0.886315
64.15,188.82,0.14922
94.36,158.8,0.951208
65.18,163.48,0.696724
43.26,126.22,0.565093
9.42,173.56,0.381003
90.25,46.44,0.689521
99.31,139.96,0.662305
27.19,181.17,0.213284
27.52,55.92,0.376048
12.58,125.19,0.293369
0.89,100.08,0.032563
18.44,109.36,0.307137
63.67,99.18,0.810351
24.95,152.02,0.208033
96.63,197.03,0.481379
72.11,65.03,0.122163
1.73,58.81,0.855745
77.48,198.88,0.933561
80.78,114.02,0.498796
50.92,147.42,0.671884
50.95,82.56,0.426409
3.87,177.69,0.949549
43.14,85.08,0.740187
16.61,63.3,0.879795
30.53,92.97,0.037156
99.02,99.83,0.648442
77.4,194.21,0.278764
46.32,95.87,0.687714
69.98,38.75,0.2885
44.23,152.06,0.609952
45.25,68.42,0.370647
38.79,158.9,0.273505
17.19,51.95,0.705387
32.01,119.06,0.565799
75.25,139.83,0.225496
52.19,97.84,0.364561
3.48,66.31,0.962161
37.26,50.33,0.264357
12.69,80.21,0.253273
52.53,1.04,0.790709
57.7,40.45,0.425737
85.77,155.43,0.148858
9.03,8.51,0.328959
47.63,105.44,0.921161
87.83,185.6,0.442115
83.87,116.12,0.310672
45.48,37.7,0.782112
37.35,119.65,0.474848
59.61,122.87,0.878311
96.44,127.88,0.570791
26.26,61.79,0.076934
25.44,45.71,0.381981
97.17,89.03,0.112393
92.08,25.58,0.777975
52.1,187.23,0.501046
13.06,57.62,0.906874
10.38,172.55,0.938785
16.14,9.1,0.49114
93.99,85.08,0.627478
27.39,89.94,0.118068
17.96,92.84,0.72411
2.84,164.74,0.136415
31.08,180.95,0.8544
32.05,104.36,0.011509
83.57,36.2,0.6108
98.36,176.82,0.495876
94.73,9.44,0.960926
18.22,134.93,0.156014
15.42,130.47,0.621342
36.02,141.23,0.99536
73.61,38.06,0.344845
87.57,164.39,0.637481
96.94,78.6,0.165444
83.87,28.83,0.71281
81.29,12.68,0.429435
8.82,54.78,0.329277
17.82,77.26,0.695583
73.49,101.55,0.326503
69.52,192.5,0.641555
60.76,144.43,0.110973
60.82,22.31,0.093296
16.3,57.65,0.364079
85.76,126.85,0.371996
64.19,131.74,0.596059
69.92,146.42,0.799244
20.97,74.83,0.098657
24.04,79.73,0.43159
54.67,92.72,0.211496
80.58,47.27,0.7245
42.01,31.26,0.267426
2.19,29.83,0.712926
56.75,124.83,0.097973
31.59,145.92,0.598667
15.51,14.33,0.460943
17.79,164.79,0.05747
88.2,174.04,0.269399
1.81,165.09,0.622342
73.15,175.59,0.547981
88.18,147.95,0.711775
50.47,84.72,0.783712
22.99,36.41,0.097127
70.37,57.67,0.861106
67.4,164.01,0.233915
48.1,14.13,0.334248
11.95,132.91,0.105782
18.5,105.25,0.072285
55.19,47.41,0.282637
26.43,73.5,0.671936
42.31,79.8,0.308277
74.08,176.9,0.735662
69.2,62.76,0.386716
21.98,197.0,0.613281
36.9,21.71,0.506439
11.29,98.27,0.366247
42.47,141.43,0.550819
