price,possibleNewPrice,priceIncreaseProbability
76.87,128.27,0.253034
93.84,70.09,0.071624
43.75,59.48,0.484735
99.16,29.37,0.991212
38.64,175.83,0.432668
4.18,144.22,0.81927
95.97,142.12,0.315412
31.41,11.94,0.907059
38.16,181.25,0.997228
11.95,64.81,0.466148
41.55,163.08,0.724256
54.93,79.73,0.253948
20.98,131.33,0.558965
40.17,123.19,0.161903
35.49,179.81,0.025442
83.27,88.49,0.184123
95.11,40.26,0.159649
43.44,67.05,0.637641
80.1,29.71,0.256464
68.12,19.23,0.860489
84.06,102.88,0.846815
7.05,121.57,0.837658
76.31,2.43,0.472804
60.56,5.4,0.751764
95.27,44.63,0.477775
23.8,35.25,0.575973
34.22,125.96,0.534942
39.22,159.7,0.819185
45.1,3.36,0.917495
3.32,91.92,0.992428
51.51,62.57,0.40194
89.56,115.14,0.432508
43.67,129.97,0.203676
36.48,68.41,0.732505
97.22,146.84,0.899974
15.76,41.57,0.174333
63.47,165.17,0.003351
88.7,23.59,0.518204
76.54,153.18,0.732005
97.91,115.04,0.106812
96.91,139.01,0.780021
32.17,179.65,0.114213
0.62,153.32,0.136397
72.82,1.9,0.583605
47.26,47.98,0.528866
47.55,0.67,0.624282
41.67,117.29,0.087652
17.11,72.61,0.292471
97.3,90.86,0.719753
30.2,85.93,0.57711
21.08,121.99,0.261499
45.52,182.63,0.91018
58.28,190.45,0.213759
25.49,77.17,0.379249
53.23,161.64,0.159474
6.27,148.43,0.541471
20.1,92.28,0.388667
90.86,28.79,0.424404
53.82,2.96,0.804679
58.51,106.17,0.99756
1.02,114.45,0.522333
40.75,9.45,0.454197
15.34,95.3,0.280808
54.69,168.99,0.947257
31.88,24.59,0.640091
72.21,90.78,0.66488
56.93,32.04,0.090583
22.22,195.99,0.045028
6.22,140.44,0.533302
96.17,135.51,0.547629
68.99,64.51,0.857635
45.67,51.68,0.305379
83.11,189.66,0.500905
10.09,122.69,0.536966
95.64,93.35,0.28744
90.99,69.25,0.25173
44.43,122.66,0.554299
43.14,141.24,0.222553
30.27,4.54,0.538281
88.81,134.51,0.720491
82.88,148.86,0.358099
85.04,46.21,0.153954
41.14,178.39,0.232313
2.79,79.08,0.647329
30.26,162.52,0.055301
73.6,103.2,0.1362
94.46,80.0,0.259647
53.45,112.7,0.702665
29.08,38.18,0.345112
64.71,146.87,0.37584
3.03,37.75,0.294987
45.62,33.6,0.277222
2.8,9.07,0.745175
41.35,48.07,0.892861
97.92,34.47,0.556685
60.53,134.57,0.045995
91.7,93.53,0.877148
35.52,22.32,0.263269
99.74,171.43,0.792207
20.47,69.26,0.160279
92.78,104.85,0.865574
38.68,118.3,2.88E-4
54.42,20.6,0.77183
15.28,59.07,0.032462
72.63,169.43,0.534702
62.18,100.5,0.719024
96.25,154.04,0.713996
95.63,105.67,0.687063
11.94,85.93,0.026397
79.74,84.11,0.660155
7.85,131.82,0.051126
88.26,127.3,0.754013
89.89,85.0,0.744509
38.8,92.77,0.17256
63.49,140.78,0.773755
72.55,159.37,0.376522
25.29,194.67,0.157031
66.55,191.45,0.373023
68.0,106.69,0.263743
77.14,150.34,0.595844
59.23,80.61,0.957134
20.22,196.73,0.413024
38.49,50.44,0.043884
7.85,43.8,0.159103
91.71,113.71,0.397597
39.02,185.86,0.588292
21.27,127.03,0.231616
6.52,165.72,0.173841
71.34,118.91,0.27043
47.23,113.58,0.926254
89.78,171.42,0.688619
61.63,32.91,0.604259
83.44,179.94,0.004419
35.08,2.09,0.879602
33.09,80.91,0.905927
48.46,164.94,0.269152
87.55,13.82,0.698072
4.38,194.94,0.341204
17.27,186.93,0.555832
66.96,115.63,0.76033
20.05,186.89,0.593928
12.08,59.28,0.376157
83.8,111.55,0.377137
70.81,144.34,0.552863
2.21,21.05,0.532388
74.0,83.89,0.841281
40.93,65.43,0.639485
40.34,118.68,0.524756
77.44,34.25,0.299232
5.64,151.59,0.430438
4.87,123.33,0.855298
46.15,181.61,0.143737
44.67,173.69,0.500712
75.22,65.09,0.646049
57.45,112.44,0.674475
78.27,24.97,0.712585
57.32,133.01,0.663554
27.16,174.04,0.752772
7.24,165.86,0.007361
78.4,90.4,0.291997
18.94,96.63,0.664477
1.48,188.88,0.918784
69.38,129.69,0.37558
9.65,64.95,0.241268
27.89,124.96,0.344774
26.09,173.52,0.493228
18.45,67.35,0.288194
29.73,55.3,0.732108
4.18,83.21,0.260253
95.37,84.08,0.705329
15.84,77.93,0.082235
99.02,8.29,0.099681
71.08,124.96,0.955284
68.22,64.72,0.001314
70.61,138.28,0.152033
55.19,99.52,0.497541
63.94,67.82,0.93197
24.38,24.56,0.759739
59.29,89.23,0.820836
20.63,133.19,0.019365
97.02,144.71,0.611374
6.06,0.87,0.243925
5.71,16.46,0.281086
77.38,87.69,0.24048
37.21,177.95,0.053529
46.28,64.1,0.362169
7.48,125.12,0.04632
48.11,0.7,0.015938
11.24,6.61,0.016374
42.6,39.11,0.11204
90.29,174.64,0.218003
58.62,16.0,0.349433
9.4,199.48,0.091026
77.7,104.73,0.48448
74.98,26.42,0.574713
29.79,11.33,0.218661
45.22,106.16,0.151763
14.49,190.35,0.09661
56.2,61.71,0.038939
53.12,192.19,0.407739
86.25,138.45,0.203804
4.79,13.1,0.909032
13.59,151.07,0.468377
44.51,171.44,0.656113
85.62,31.71,0.900475
45.94,193.49,0.064117
9.21,98.61,0.95392
46.47,157.55,0.785908
18.75,113.31,0.533559
99.37,149.91,0.156131
65.86,45.91,0.885682
57.9,146.53,0.915955
63.1,99.98,0.176605
49.44,3.73,0.112279
72.27,0.0,0.971234
14.91,53.46,0.410799
51.99,60.94,0.880709
29.45,127.19,0.3256
21.09,48.55,0.1568
24.02,128.99,0.846745
85.86,116.02,0.385747
74.41,34.99,0.736356
55.33,142.89,0.012574
61.83,184.62,0.004568
96.23,190.18,0.717258
77.7,58.25,0.207942
78.06,165.43,0.597362
2.29,97.51,0.719776
28.83,116.19,0.290182
30.18,46.13,0.786533
68.29,153.14,0.115637
13.84,181.5,0.336382
42.95,166.4,0.73535
6.56,15.17,0.270565
43.82,22.16,0.82169
84.63,95.57,0.518902
13.77,102.76,0.603121
34.12,10.91,0.946855
19.17,131.17,0.610907
83.98,14.21,0.279857
74.2,60.77,0.38077
33.62,58.61,0.374534
22.77,132.24,0.567309
52.75,6.35,0.27633
40.96,28.73,0.886241
61.5,161.46,0.716168
64.0,187.7,0.409339
34.27,160.24,0.719187
38.05,147.78,0.070562
6.05,54.99,0.327326
75.41,180.23,0.292482
10.43,151.31,0.622333
58.04,141.39,0.574721
97.87,45.18,0.121548
0.48,10.86,0.787666
95.31,78.29,0.596941
88.41,84.52,0.044033
87.62,145.53,0.627049
51.05,65.48,0.058468
60.87,89.94,0.966864
76.51,43.35,0.203993
20.37,84.82,0.644682
22.02,35.61,0.308038
25.03,190.69,0.646482
12.07,55.59,0.046322
97.08,182.36,0.003595
23.69,102.53,0.458222
23.89,47.87,0.981032
71.36,79.55,0.162443
59.13,181.71,0.091662
74.09,36.6,0.758724
14.3,26.64,0.601996
91.16,116.81,0.293772
61.52,96.29,0.612206
85.46,24.24,0.603276
12.94,50.82,0.296422
24.59,108.76,0.544264
14.74,151.88,0.386681
79.54,15.6,0.252587
71.62,28.6,0.929086
73.97,21.76,0.420323
73.41,11.25,0.984903
76.88,83.76,0.430493
16.87,91.6,0.590202
97.9,168.4,0.926689
33.29,34.92,0.520074
24.86,104.55,0.870052
44.44,174.31,0.368901
52.27,64.43,0.354141
64.97,170.04,0.095265
58.22,1.43,0.840428
56.35,107.64,0.47402
45.32,191.02,0.145817
64.73,165.46,0.131193
24.04,55.35,0.483291
59.42,16.62,0.838772
68.11,121.74,0.323697
38.55,186.55,0.142017
51.32,152.75,0.429014
9.92,196.27,0.854628
1.21,181.19,0.395257
56.19,147.17,0.456579
1.83,137.48,0.648342
89.21,193.58,0.482332
98.1,129.42,0.442532
16.71,188.89,0.906896
6.06,43.42,0.824288
29.49,145.16,0.684221
4.17,111.33,0.221809
56.01,118.94,0.62389
63.31,114.51,0.701868
77.94,111.1,0.912065
88.42,74.94,0.571899
0.65,68.69,0.792264
70.89,167.58,0.889879
90.3,5.28,0.268456
42.5,45.09,0.242388
29.92,153.31,0.522069
41.42,20.63,0.4493
83.1,150.47,0.937278
38.3,41.03,0.410535
50.63,101.06,0.893949
71.66,195.46,0.306969
45.21,83.69,0.550114
31.66,46.93,0.656427
15.47,76.84,0.728211
39.42,108.36,0.081058
16.04,3.27,0.320453
55.35,83.39,0.010745
27.18,50.3,0.714756
28.04,86.31,0.296462
78.32,183.46,0.03638
59.31,86.34,0.877967
65.83,52.25,0.221604
9.85,188.33,0.203583
88.58,185.72,0.354944
30.52,176.13,0.170053
56.57,126.08,0.374144
61.82,172.92,0.49306
77.73,168.18,0.287706
58.52,195.47,0.861658
59.17,112.38,0.8654
37.03,32.45,0.121895
98.22,35.1,0.307
5.83,108.73,0.397607
9.39,4.94,0.419525
76.47,113.67,0.232977
72.4,178.31,0.136231
94.59,188.66,0.946884
74.87,85.49,0.886405
14.68,161.43,0.760395
9.17,140.38,0.015072
33.03,67.77,0.404579
5.87,182.01,0.594652
12.15,58.27,0.767012
3.14,76.74,0.051716
76.17,102.5,0.294237
62.52,2.08,0.83344
35.66,187.81,0.858631
11.9,9.55,0.189371
46.01,87.45,0.317767
86.49,167.79,0.170568
5.49,23.36,0.160687
22.47,150.89,0.322977
26.11,164.97,0.238551
55.18,122.79,0.744746
35.46,135.52,0.328744
68.41,25.88,0.204665
95.2,2.08,0.065621
11.74,94.68,0.69459
8.52,123.83,0.893183
43.38,148.76,0.972774
72.63,152.35,0.132732
2.76,177.4,0.504905
56.26,7.13,0.911319
75.7,195.5,0.429255
16.96,184.45,0.635919
79.6,148.43,0.262787
45.95,156.26,0.416782
81.96,176.16,0.574126
46.35,42.34,0.50657
26.93,54.76,0.621746
23.55,119.88,0.516351
4.96,38.67,0.383122
35.89,3.47,0.154291
74.35,88.95,0.671425
15.08,80.33,0.188537
63.67,32.55,0.38603
93.78,122.21,0.614798
23.66,33.37,0.903703
51.78,181.55,0.886051
98.75,27.06,0.268202
23.28,184.82,0.982838
85.54,175.66,0.05285
57.84,194.38,0.935899
88.34,12.85,0.476536
42.7,160.28,0.698563
64.44,92.59,0.768083
21.12,127.27,0.466213
33.68,19.35,0.663765
59.68,108.07,0.288043
60.67,62.04,0.851276
58.92,51.28,0.167996
73.63,52.45,0.751167
80.09,99.59,0.534582
72.57,94.3,0.160742
91.98,188.38,0.62285
81.03,197.54,0.429859
74.52,123.96,0.7772
80.28,74.27,0.243943
49.6,10.55,0.194312
22.11,142.9,0.054632
28.1,182.23,0.096155
75.53,74.73,0.317599
49.15,114.47,0.59083
22.66,56.34,0.111793
61.06,25.45,0.552579
69.15,138.86,0.363127
21.41,173.03,0.162455
81.69,195.54,0.763821
28.63,62.92,0.400286
59.64,136.52,0.848491
92.32,119.53,0.791223
4.7,47.86,0.388624
89.52,55.95,0.282553
82.23,73.97,0.924443
78.93,93.96,0.876766
94.35,180.42,0.54003
72.06,120.46,0.865116
78.21,80.63,0.873817
14.76,173.6,0.404081
36.38,134.13,0.358625
66.49,88.67,0.138893
29.07,9.41,0.116949
86.13,120.74,0.409448
53.22,17.89,0.158406
30.6,25.61,0.751885
89.35,168.12,0.194448
37.05,110.67,0.333368
66.48,149.56,0.70469
13.73,60.22,0.199456
25.27,150.18,0.860482
85.37,51.42,0.765977
12.75,150.16,0.582563
82.04,74.1,0.515656
24.56,51.51,0.725369
87.54,74.23,0.95076
94.79,125.97,0.032656
64.33,192.56,0.26549
84.76,148.15,0.785722
93.52,59.96,0.116473
22.05,170.26,0.702347
34.11,43.2,0.139
14.33,165.71,0.673523
46.4,71.3,0.255035
0.99,182.26,0.925507
99.28,186.45,0.292764
91.54,197.05,0.542434
4.44,84.44,0.354782
76.19,135.55,0.402719
85.3,180.57,0.772879
21.91,118.17,0.190324
95.07,56.28,0.333767
98.43,31.21,0.506421
72.63,20.31,0.88575
14.48,15.42,0.29137
52.06,124.2,0.996969
5.52,43.42,0.881718
82.47,183.96,0.258933
61.39,68.29,0.479313
37.87,15.49,0.264048
45.15,5.76,0.553648
98.02,37.86,0.554073
53.99,132.34,0.485293
13.47,142.11,0.680947
47.79,196.21,0.385482
61.0,80.25,0.357393
1.3,135.8,0.589419
87.57,173.68,0.838954
69.63,157.04,0.460162
94.93,58.32,0.680449
34.12,140.96,0.294593
56.19,118.07,0.778958
73.12,32.94,0.778287
77.8,162.65,0.754848
79.86,128.05,0.374298
31.76,93.45,0.756476
93.62,26.56,0.581081
17.45,92.64,0.399324
78.76,34.44,0.282966
59.04,49.67,0.884632
56.58,55.06,0.61558
72.88,194.39,0.17607
83.15,125.9,0.348212
21.74,88.82,0.15763
59.61,144.87,0.761803
13.81,99.37,0.835443
35.72,189.37,0.188617
60.82,146.37,0.186333
18.55,123.57,0.637967
